Feature,Mean_Absolute_SHAP
F661,183.99428082896966
F1884,183.5824435436019
F465,176.76518551437874
F1482,168.93227688286453
F1145,167.12860850236098
F507,166.9872264269527
F314,166.978732750863
F527,166.63734411068782
F375,166.18351337602823
F222,165.30140338689597
F99,164.0794281729506
F2002,163.58238736717857
F1526,163.57718732022198
F1378,162.60493755162994
F477,162.55509188841546
F374,162.3063957889233
F2370,161.21196605407118
F1484,160.33657887208386
F119,159.42257001348815
F659,158.66906936473484
F785,157.197747330524
F432,156.18213594842604
F1044,154.19642162999565
F2133,152.6574642749824
F642,152.33443406869878
F1200,151.74927544639417
F224,147.47970332234232
F948,139.40795804136025
F786,138.783377622753
F1531,136.61837282550465
F406,135.55169402846695
F588,133.88569252586035
F619,131.20878882052745
F1168,127.99731828770294
F496,127.772052932043
F446,126.18147380496528
F997,125.9256623558119
F474,125.48985968948584
F37,122.31071082721105
F2372,121.78715021214202
F418,120.2901898864895
F987,120.02306746468393
F656,117.00011736257204
F401,115.77463118696494
F425,111.7515025941605
F2356,106.71841697964032
F1040,104.0979760444109
F663,103.27857122553652
F690,97.11591095304902
F189,92.67129394406783
F409,79.75174432134273
F593,76.57095488923409
F1161,74.13950099870303
F578,71.59774417151235
F217,65.29877849119995
F431,61.98288603062424
F519,60.06374280607891
F333,53.92959234579232
F136,52.30029052905775
F194,51.04219197303239
F193,49.92909322652321
F45,49.664113911408414
F90,48.58217639129642
F829,47.11386976831838
F536,46.66716472170057
F38,45.18301391793072
F341,44.39777410942999
F559,41.49521583997286
F832,41.28012235357286
F2364,40.51016937556271
F778,38.357417209932215
F372,38.351443766318276
F1599,37.33770970878787
F502,36.5368939143694
F1541,35.997263323444926
F50,35.74736339069704
F672,35.61957143526894
F811,33.313965692414904
F1850,32.97716040512741
F485,32.346270021919054
F2360,32.03498568701485
F779,31.211982064700898
F624,30.886001193564244
F52,30.861830792232887
F66,30.119824901548235
F752,29.93438926924914
F504,29.589181438935647
F32,29.260985421503516
F807,28.949500326037697
F1522,28.764380913021068
F907,27.5699689582147
F239,25.64688462696059
F1735,24.60349876980705
F338,23.926327721866155
F176,23.823150825659376
F1050,23.210954072679176
F1311,22.846293500856603
F336,22.69606402009896
F658,21.990040538892977
F111,21.961802919838586
F1191,21.856510603890364
F225,21.810851051797393
F453,21.38526211776861
F1074,21.230937671649414
F96,20.896034450047782
F1968,20.80908634981331
F1025,20.71092290134883
F1834,20.708040042571632
F1529,20.70392592947724
F2080,20.61306536018359
F473,20.30571360525269
F168,20.13212173564587
F44,19.944272871586517
F1609,19.937998945479595
F1921,19.83961203723855
F2027,19.8386753937525
F1030,19.73588130125235
F2084,19.638184816443516
F1062,19.007215766902384
F1781,18.70160028164793
F321,18.67948184774471
F1303,18.586994719858712
F1324,18.551513727155502
F1848,18.03878680840844
F2110,17.925792336299757
F498,17.86516307809624
F511,17.763780285983664
F1954,17.74747850013186
F169,17.491766735859112
F1778,17.480222543633786
F1517,17.40623888729362
F1881,17.294685877797203
F942,17.068464647262047
F1428,17.031750487890214
F134,16.830131834643602
F605,16.65471659987985
F351,16.55877309502221
F1553,16.499750908605055
F6,16.455753701816793
F2218,16.413479521491137
F2016,16.37677619484796
F1683,16.015691492337957
F1560,15.865591765623943
F1419,15.79853478651675
F782,15.752265417607484
F1162,15.748128948835134
F590,15.716011218215474
F1798,15.605182617360208
F316,15.571842219645566
F103,15.441977881217696
F1535,15.436026541483184
F1923,15.37390799472343
F280,15.360886426965774
F142,15.139154467960335
F125,15.119182910901966
F1642,14.905727443624889
F2038,14.749982404471575
F1308,14.73997309207166
F132,14.689890550705403
F467,14.528054453499356
F390,14.25429247770379
F2361,14.013316422058045
F1473,13.975028938374217
F11,13.56369934045502
F1950,13.396707063167451
F735,13.340823156391934
F1825,13.250854251025766
F1494,13.157745682464874
F1423,13.050429780188079
F466,13.030771275057607
F1213,12.970562295368756
F1766,12.928070581672538
F638,12.842563631885255
F1824,12.561059065202148
F621,12.506185743416864
F737,12.13396056434053
F1877,12.095082242872326
F633,11.945229619991176
F272,11.896465095435264
F436,11.856220700762416
F447,11.775786316087668
F308,11.706207901157386
F452,11.540791077674717
F304,11.513662901537678
F681,11.412141414951753
F459,11.353599051302956
F758,11.344888770397457
F974,11.048291599754114
F2073,10.899291181123475
F1686,10.896858365335492
F721,10.823671369737394
F2100,10.801978758303553
F1399,10.77571597791972
F53,10.721508291526643
F1767,10.558490548433655
F794,10.520442161310958
F1795,10.311940801739171
F2304,10.14739869855783
F1680,9.886318624933192
F246,9.510541691721405
F1552,9.505558638890303
F1238,9.405950431710831
F627,9.267347245346553
F1822,9.203952345311311
F97,9.186252608742645
F495,9.10967583204343
F292,9.0576433356401
F2051,8.974730194341365
F107,8.684544899114645
F1060,8.6270597911294
F1227,8.37122078383703
F1813,8.171172203777566
F396,8.130314948141052
F1818,8.087787680114593
F2266,7.952674230900287
F1431,7.891506193821714
F1904,7.861364187354577
F2081,7.808823644820383
F1301,7.754248260844581
F20,7.711082754102006
F1613,7.595663703429142
F1545,7.552906108599457
F2331,7.435999443281854
F2306,7.414807110497466
F880,7.385651619190497
F359,7.24265427862975
F1015,7.221312738481562
F1132,7.194822861973738
F526,7.0604114485972955
F700,7.053376035242221
F393,7.012368125313498
F1669,6.972332318118892
F67,6.949438768939433
F1481,6.92116996098026
F2228,6.82397415096659
F1601,6.807822449670478
F1047,6.737243595589206
F1441,6.723969984294224
F666,6.645346854144781
F682,6.643653656839641
F177,6.628484551371214
F1753,6.526551055061381
F479,6.493155027508624
F1888,6.4103623510604475
F391,6.271794785252715
F622,6.200828283646411
F72,6.0773616454864765
F1369,6.02828253402419
F1808,6.019331148601076
F726,5.932281993176302
F1278,5.856705723375436
F1312,5.848699213153098
F501,5.784451875621197
F1681,5.663952417080536
F1663,5.537512188548541
F1316,5.502537774748507
F1527,5.497136639158095
F1789,5.49584100632285
F15,5.414414787931728
F2114,5.386306721361543
F1697,5.320339550301341
F60,5.215937473337592
F685,5.204344446097334
F1827,5.202366017842822
F1380,5.1878963672770135
F1980,5.166925524240286
F777,5.09918057117933
F2380,5.086113830010563
F2376,5.082808809218002
F1874,5.073866435121232
F218,5.068487153690112
F915,5.060006056584624
F693,5.053766248874616
F1965,5.039444655380997
F252,4.980736609642168
F376,4.960938904168342
F2069,4.946021798632174
F2138,4.909234007530758
F691,4.899957213459464
F1996,4.86627657724271
F1505,4.84771950893993
F450,4.818432508322706
F286,4.802918181754394
F1907,4.78396918775313
F2098,4.754837437805412
F437,4.716137719069904
F2170,4.709998010867599
F441,4.589379146336951
F1328,4.487924861854799
F462,4.432600915677518
F719,4.402265875269542
F773,4.259836641563678
F1679,4.217488609007678
F509,4.205124407382652
F365,4.172516355593617
F1617,4.16481031876082
F500,4.156595288540247
F2030,4.148101833244689
F1826,4.145173204590178
